Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1880,-0.55,-0.39,-0.26,-0.37,-0.11,-0.23,-0.24,-0.25,-0.27,-0.32,-0.37,-0.49
1881,-0.21,-0.26,0,-0.03,-0.07,-0.37,-0.07,-0.04,-0.24,-0.41,-0.43,-0.29
1882,0.21,0.21,-0.01,-0.37,-0.33,-0.39,-0.38,-0.14,-0.18,-0.54,-0.34,-0.43
1883,-0.61,-0.69,-0.17,-0.28,-0.33,-0.26,-0.1,-0.27,-0.35,-0.22,-0.41,-0.26
1884,-0.23,-0.12,-0.66,-0.63,-0.43,-0.53,-0.49,-0.51,-0.45,-0.41,-0.48,-0.4
1885,-1.01,-0.37,-0.21,-0.54,-0.56,-0.48,-0.39,-0.45,-0.33,-0.31,-0.28,0
1886,-0.68,-0.68,-0.58,-0.35,-0.35,-0.44,-0.2,-0.47,-0.35,-0.32,-0.45,-0.18
1887,-1.07,-0.58,-0.36,-0.42,-0.27,-0.2,-0.23,-0.51,-0.17,-0.41,-0.19,-0.44
1888,-0.53,-0.59,-0.58,-0.24,-0.16,-0.04,0.03,-0.2,-0.13,0.02,-0.04,-0.27
1889,-0.32,0.34,0.06,0.15,-0.05,-0.13,-0.1,-0.16,-0.26,-0.34,-0.61,-0.56
1890,-0.65,-0.56,-0.43,-0.36,-0.48,-0.2,-0.23,-0.37,-0.4,-0.08,-0.7,-0.44
1891,-0.6,-0.69,-0.13,-0.33,-0.22,-0.16,-0.14,-0.09,-0.03,-0.27,-0.56,-0.03
1892,-0.46,-0.16,-0.56,-0.48,-0.27,-0.1,-0.38,-0.28,-0.12,-0.22,-0.8,-0.65
1893,-1.47,-0.89,-0.28,-0.29,-0.43,-0.2,-0.12,-0.33,-0.22,-0.23,-0.25,-0.64
1894,-0.87,-0.43,-0.21,-0.59,-0.33,-0.48,-0.24,-0.22,-0.26,-0.24,-0.47,-0.31
1895,-0.73,-0.76,-0.38,-0.23,-0.3,-0.25,-0.18,-0.24,0.03,-0.04,-0.05,-0.24
1896,-0.44,-0.21,-0.49,-0.6,-0.22,0.02,-0.02,-0.06,-0.05,0.15,-0.25,-0.18
1897,-0.37,-0.34,-0.38,-0.05,0.07,-0.13,-0.01,-0.09,-0.03,-0.13,-0.25,-0.28
1898,0.03,-0.45,-0.77,-0.3,-0.3,-0.11,-0.14,-0.15,-0.16,-0.34,-0.45,-0.26
1899,-0.13,-0.66,-0.52,-0.2,-0.26,-0.38,-0.19,-0.03,0.01,0.07,0.38,-0.48
1900,-0.6,-0.05,0.12,-0.14,-0.03,-0.14,-0.13,-0.07,0.03,0.25,-0.15,0
1901,-0.34,0.07,0.35,0.11,-0.11,0.04,0.02,-0.13,-0.26,-0.31,-0.2,-0.4
1902,-0.17,0.1,-0.38,-0.41,-0.45,-0.45,-0.32,-0.31,-0.32,-0.33,-0.51,-0.65
1903,-0.24,0.18,-0.13,-0.48,-0.5,-0.52,-0.46,-0.58,-0.47,-0.48,-0.44,-0.57
1904,-0.83,-0.59,-0.42,-0.56,-0.49,-0.51,-0.61,-0.53,-0.57,-0.38,-0.12,-0.35
1905,-0.5,-0.81,-0.24,-0.46,-0.33,-0.33,-0.24,-0.24,-0.14,-0.25,0.06,-0.26
1906,-0.55,-0.58,-0.18,0.05,-0.24,-0.1,-0.28,-0.13,-0.2,-0.15,-0.39,0.01
1907,-0.54,-0.72,-0.27,-0.47,-0.61,-0.51,-0.41,-0.36,-0.36,-0.19,-0.59,-0.59
1908,-0.52,-0.24,-0.67,-0.48,-0.36,-0.36,-0.4,-0.55,-0.29,-0.44,-0.58,-0.54
1909,-0.86,-0.46,-0.61,-0.68,-0.52,-0.51,-0.42,-0.3,-0.31,-0.28,-0.09,-0.54
1910,-0.39,-0.42,-0.48,-0.37,-0.32,-0.44,-0.39,-0.4,-0.37,-0.26,-0.55,-0.79
1911,-0.74,-0.58,-0.6,-0.43,-0.47,-0.32,-0.37,-0.4,-0.31,-0.12,-0.12,-0.3
1912,-0.35,-0.12,-0.55,-0.22,-0.16,-0.19,-0.56,-0.76,-0.71,-0.82,-0.48,-0.57
1913,-0.57,-0.59,-0.45,-0.5,-0.61,-0.56,-0.56,-0.47,-0.43,-0.42,-0.12,0.1
1914,0.18,-0.11,-0.3,-0.37,-0.24,-0.28,-0.37,-0.23,-0.24,-0.01,-0.26,-0.12
1915,-0.18,-0.03,-0.23,0.06,-0.05,-0.1,-0.06,-0.14,-0.14,-0.29,-0.02,-0.16
1916,0,-0.1,-0.39,-0.34,-0.33,-0.43,-0.3,-0.31,-0.41,-0.25,-0.35,-1.11
1917,-0.56,-0.64,-0.68,-0.56,-0.74,-0.48,-0.32,-0.39,-0.23,-0.57,-0.21,-1.07
1918,-0.57,-0.39,-0.22,-0.61,-0.53,-0.42,-0.38,-0.33,-0.22,-0.03,-0.2,-0.52
1919,-0.37,-0.38,-0.35,-0.24,-0.44,-0.41,-0.33,-0.28,-0.13,-0.06,-0.46,-0.54
1920,-0.08,-0.19,0.09,-0.23,-0.21,-0.25,-0.23,-0.27,-0.29,-0.39,-0.43,-0.65
1921,0.26,-0.09,-0.07,-0.15,-0.22,-0.13,-0.02,-0.23,-0.12,0.02,-0.06,-0.11
1922,-0.37,-0.62,-0.06,-0.17,-0.2,-0.16,-0.24,-0.31,-0.36,-0.29,-0.1,-0.12
1923,-0.21,-0.42,-0.4,-0.52,-0.4,-0.19,-0.24,-0.22,-0.12,0.12,0.23,0.12
1924,-0.26,-0.21,0.06,-0.27,-0.06,-0.16,-0.15,-0.21,-0.18,-0.21,0.14,-0.36
1925,-0.24,-0.35,-0.19,-0.15,-0.23,-0.24,-0.24,-0.13,0.01,-0.07,0.22,0.27
1926,0.52,0.26,0.37,-0.11,-0.21,-0.16,-0.14,-0.06,-0.01,0.09,0.18,-0.27
1927,-0.27,-0.08,-0.43,-0.28,-0.13,-0.1,-0.02,-0.09,0.07,0.27,0.15,-0.37
1928,0.29,0.13,-0.26,-0.31,-0.15,-0.28,-0.08,-0.16,-0.1,-0.05,0.06,-0.06
1929,-0.56,-0.81,-0.17,-0.32,-0.27,-0.35,-0.3,-0.14,-0.16,0.01,-0.01,-0.64
1930,-0.1,-0.19,0.16,-0.15,-0.19,-0.11,0.02,0.09,0.03,0.1,0.42,0.08
1931,0.05,-0.28,0,-0.15,-0.13,0.17,0.11,0.11,0.19,0.3,0.15,0.03
1932,0.4,-0.2,-0.22,0.1,-0.12,-0.15,-0.13,-0.09,0.1,0.13,-0.29,-0.18
1933,-0.37,-0.37,-0.3,-0.19,-0.26,-0.29,-0.12,-0.16,-0.23,-0.11,-0.22,-0.56
1934,-0.21,0.32,-0.33,-0.27,0.05,-0.03,-0.03,-0.08,-0.13,0.11,0.28,0.17
1935,-0.39,0.6,0.06,-0.32,-0.32,-0.14,-0.05,-0.06,-0.04,0.09,-0.34,-0.2
1936,-0.3,-0.51,-0.13,-0.06,-0.03,0.06,0.13,0.03,0.06,0.04,0.05,0.13
1937,-0.02,0.28,-0.16,-0.08,0.08,0.13,0.13,0.16,0.33,0.32,0.26,-0.08
1938,0.24,0.19,0.32,0.29,0.01,-0.09,-0.03,0.09,0.19,0.26,0.25,-0.3
1939,-0.01,-0.03,-0.26,-0.06,-0.03,-0.02,0.02,0.06,0.14,0.08,0.23,0.82
1940,-0.2,0.24,0.17,0.31,0.13,0.09,0.15,0.03,0.22,0.22,0.32,0.3
1941,0.25,0.52,0.09,0.15,0.18,0.18,0.23,0.17,0.1,0.46,0.21,0.17
1942,0.31,-0.08,0.08,0.11,0.11,0.1,-0.01,-0.1,0.06,0.22,0.23,0.15
1943,-0.15,0.3,-0.09,0.22,0.17,-0.1,-0.03,0.1,0.13,0.43,0.35,0.39
1944,0.6,0.46,0.32,0.17,0.22,0.17,0.14,0.13,0.36,0.42,0.18,-0.03
1945,0.09,-0.1,0.09,0.26,0.06,0.07,0.03,0.29,0.2,0.2,0.09,-0.25
1946,0.35,0.19,0.1,0.31,0.02,-0.04,-0.05,-0.07,-0.03,0.02,0.08,-0.52
1947,-0.14,-0.02,0.31,0.24,0.02,0.01,-0.05,-0.08,-0.03,0.36,0.17,-0.09
1948,0.31,-0.17,-0.29,-0.03,0.17,0.06,0.01,0.02,-0.01,0.03,0.06,-0.36
1949,0.28,-0.15,0.03,-0.02,0,-0.17,-0.12,-0.04,-0.09,0.07,0.04,-0.22
1950,-0.43,-0.31,0.07,-0.23,-0.03,-0.06,-0.21,-0.23,-0.1,-0.09,-0.39,-0.09
1951,-0.36,-0.54,-0.18,0.08,0.17,0,0.09,0.21,0.32,0.26,0.11,0.34
1952,0.17,0.15,-0.25,0.15,0.15,0.14,0.13,0.04,0.14,-0.02,-0.23,0.03
1953,0.25,0.36,0.26,0.42,0.23,0.22,0.2,0.17,0.16,0.25,0.04,0.18
1954,-0.3,-0.05,-0.18,-0.07,-0.12,-0.04,-0.11,0,0.09,0.08,0.3,-0.18
1955,0.42,-0.16,-0.47,-0.24,-0.14,-0.09,-0.06,0.03,-0.02,0.11,-0.35,-0.34
1956,-0.12,-0.36,-0.28,-0.26,-0.33,-0.2,-0.23,-0.28,-0.35,-0.3,-0.31,-0.16
1957,-0.17,-0.07,-0.12,-0.1,-0.07,0.11,0.11,0.17,0.15,0.08,0.12,0.27
1958,0.71,0.33,0.21,0.06,0.14,0.04,0.04,0.14,0.06,0.08,0.06,0.18
1959,0.25,0.18,0.32,0.2,0.03,0.14,0.05,0.07,0.11,-0.06,0.01,0.08
1960,0.14,0.47,-0.4,-0.13,0.05,0.18,0.09,0.1,0.12,0.06,-0.09,0.39
1961,0.16,0.28,0.21,0.13,0.04,0.19,0.07,0.08,-0.04,-0.04,0.08,-0.15
1962,0.31,0.38,0.34,0.23,0.07,-0.1,0.13,0.06,0.01,0.14,0.16,0.15
1963,0.1,0.53,-0.12,0.05,-0.03,-0.02,0.13,0.19,0.14,0.42,0.46,0.08
1964,-0.02,-0.07,-0.34,-0.29,-0.09,-0.07,-0.11,-0.22,-0.28,-0.31,-0.21,-0.28
1965,-0.01,-0.38,-0.04,-0.26,-0.1,-0.2,-0.16,-0.19,-0.19,-0.03,0.06,-0.04
1966,-0.2,0.1,0.01,-0.22,-0.01,0.06,0.12,0.16,0.09,-0.08,0.01,-0.08
1967,-0.14,-0.38,0.21,0.06,0.23,-0.05,0.05,0.06,-0.01,0.3,0.02,0.05
1968,-0.29,-0.18,0.47,0.01,-0.04,-0.02,-0.07,-0.09,-0.04,0.03,-0.17,-0.29
1969,-0.42,-0.41,-0.15,0.06,0.14,-0.04,0.07,0.04,0.05,0.04,0.17,0.36
1970,-0.02,0.31,-0.06,0,-0.02,0,-0.03,-0.06,-0.04,-0.16,0.03,-0.29
1971,-0.13,-0.28,-0.25,-0.2,-0.13,-0.14,-0.13,-0.18,-0.14,-0.16,0.01,-0.15
1972,-0.57,-0.52,-0.02,-0.13,-0.17,-0.09,-0.05,-0.07,-0.28,-0.05,-0.2,-0.05
1973,0.16,0.43,0.31,0.17,0.11,0.16,0.02,0.01,-0.07,-0.01,-0.09,-0.01
1974,-0.32,-0.38,0.02,-0.11,-0.18,-0.2,-0.13,-0.11,-0.17,-0.25,-0.23,-0.29
1975,0.11,0.07,0.13,0.06,-0.01,-0.06,-0.07,-0.15,-0.09,-0.15,-0.29,-0.22
1976,0.07,-0.11,-0.32,0.01,-0.28,-0.22,-0.28,-0.23,-0.11,-0.5,-0.32,-0.26
1977,-0.15,0.1,0.26,0.28,0.22,0.2,0.06,0.01,0.14,-0.03,0.26,0.01
1978,0.14,0.14,0.2,0.06,-0.09,-0.15,-0.08,-0.14,-0.01,-0.05,0.16,0.07
1979,0.03,-0.35,0.17,-0.15,0.01,0.06,0.04,0.04,0.16,0.21,0.24,0.52
1980,0.21,0.43,0.07,0.13,0.23,0.18,0.13,0.1,0.08,0.15,0.2,0.06
1981,0.84,0.62,0.68,0.38,0.16,0.3,0.11,0.18,0.18,0.24,0.37,0.58
1982,-0.07,0.15,0.05,0.13,0.07,0.01,0.05,-0.07,0.07,0.01,-0.13,0.36
1983,0.54,0.36,0.45,0.09,0.05,0.12,0.21,0.24,0.27,0.1,0.53,0.13
1984,0.32,0.06,0.21,-0.07,0.22,0.11,0.09,0.03,-0.02,0.06,-0.13,-0.42
1985,0.08,-0.32,-0.01,-0.07,0.08,0.04,-0.1,-0.02,0.02,0,0.03,0.14
1986,0.35,0.34,0.23,0.14,0.18,0.12,-0.02,0.04,-0.01,0.05,0.01,0.08
1987,0.28,0.56,0.01,0.07,0.22,0.18,0.28,0.27,0.43,0.23,0.09,0.54
1988,0.61,0.44,0.48,0.46,0.43,0.4,0.41,0.28,0.28,0.25,0.04,0.47
1989,0.1,0.47,0.43,0.35,0.22,0.26,0.32,0.29,0.28,0.27,0.12,0.36
1990,0.44,0.5,1.15,0.66,0.47,0.49,0.31,0.36,0.41,0.46,0.48,0.37
1991,0.55,0.52,0.46,0.55,0.37,0.45,0.45,0.35,0.38,0.3,0.35,0.21
1992,0.54,0.48,0.49,0.09,0.18,0.04,-0.08,-0.07,-0.19,-0.13,-0.08,0.23
1993,0.42,0.53,0.39,0.2,0.3,0.22,0.11,0.01,-0.07,0.13,-0.16,0.18
1994,0.36,-0.02,0.42,0.48,0.38,0.42,0.34,0.31,0.29,0.54,0.52,0.33
1995,0.74,1.16,0.57,0.75,0.4,0.48,0.4,0.56,0.43,0.61,0.57,0.31
1996,0.29,0.58,0.3,0.22,0.38,0.25,0.28,0.18,0.06,0.04,0.38,0.4
1997,0.38,0.56,0.77,0.52,0.43,0.5,0.43,0.46,0.54,0.67,0.6,0.53
1998,0.67,1.07,0.73,0.88,0.65,0.74,0.77,0.74,0.6,0.56,0.59,0.75
1999,0.59,1.01,0.31,0.54,0.41,0.36,0.35,0.34,0.4,0.42,0.55,0.7
2000,0.34,0.87,0.87,0.88,0.56,0.46,0.42,0.49,0.39,0.31,0.19,0.29
2001,0.54,0.47,0.77,0.58,0.63,0.55,0.64,0.69,0.55,0.62,0.95,0.67
2002,1,1.07,1.13,0.49,0.51,0.72,0.69,0.53,0.6,0.56,0.77,0.48
2003,0.9,0.51,0.6,0.59,0.71,0.55,0.66,0.84,0.79,0.97,0.67,0.97
2004,0.69,0.89,0.87,0.74,0.55,0.48,0.49,0.54,0.6,0.75,0.95,0.46
2005,0.89,0.67,0.83,0.9,0.77,0.8,0.78,0.7,0.91,0.94,1.01,0.78
2006,0.65,0.88,0.77,0.6,0.72,0.77,0.65,0.64,0.73,0.95,0.91,1.07
2007,1.32,0.92,0.91,1.04,0.68,0.64,0.63,0.7,0.66,0.82,0.77,0.71
2008,0.21,0.51,1.09,0.62,0.57,0.6,0.57,0.58,0.57,0.83,0.91,0.65
2009,0.79,0.68,0.56,0.65,0.65,0.68,0.63,0.7,0.79,0.76,0.8,0.68
2010,0.78,0.89,1.11,1.14,0.91,0.79,0.83,0.8,0.64,0.87,1.15,0.54
2011,0.55,0.61,0.86,0.79,0.62,0.72,0.69,0.67,0.68,0.87,0.62,0.76
2012,0.62,0.56,0.69,1.01,0.91,0.87,0.79,0.69,0.84,0.84,0.9,0.47
2013,0.79,0.65,0.8,0.65,0.75,0.73,0.68,0.67,0.69,0.81,1.05,0.78
2014,0.94,0.67,1.15,1.03,0.88,0.82,0.73,0.89,0.85,0.96,0.81,1.09
2015,1.13,1.12,1.22,1.01,0.96,1.04,0.9,1,1.13,1.25,1.35,1.45
2016,1.55,1.91,1.82,1.43,1.03,1.1,1.02,1.09,1.18,1.04,1.09,0.99
2017,1.26,1.45,1.42,1.16,0.86,0.91,0.94,0.97,0.97,1,1.17,1.29
2018,1.07,1.17,1.18,0.91,0.94,0.83,0.82,0.81,***,***,***,***
